id,Masksd 0=Mask Non-Complient and Not Social Distancing; 1 = Mask Complient and Social Distancing; 9= could not be determined
2212.00,1.00
327.00,1.00
559.00,1.00
2088.00,1.00
593.00,1.00
594.00,1.00
2087.00,1.00
2232.00,9.00
173.00,1.00
2068.00,1.00
2067.00,1.00
2070.00,1.00
2069.00,1.00
139.00,1.00
138.00,1.00
142.00,1.00
426.00,1.00
2281.00,1.00
169.00,9.00
5.00,9.00
186.00,1.00
38.00,1.00
63.00,1.00
69.00,1.00
137.00,1.00
81.00,1.00
298.00,1.00
391.00,1.00
411.00,1.00
444.00,1.00
240.00,1.00
290.00,1.00
429.00,1.00
204.00,1.00
275.00,1.00
277.00,1.00
279.00,1.00
293.00,1.00
307.00,1.00
313.00,1.00
337.00,1.00
349.00,1.00
2183.00,1.00
255.00,1.00
259.00,1.00
261.00,1.00
2188.00,1.00
2218.00,1.00
2236.00,1.00
2237.00,1.00
2241.00,1.00
2182.00,1.00
472.00,1.00
536.00,1.00
560.00,1.00
1572.00,1.00
477.00,1.00
595.00,1.00
460.00,1.00
546.00,1.00
549.00,1.00
1577.00,1.00
1586.00,1.00
1584.00,1.00
1587.00,1.00
473.00,1.00
2029.00,1.00
2032.00,1.00
2081.00,1.00
2082.00,1.00
2089.00,1.00
2012.00,1.00
2037.00,1.00
2024.00,1.00
2090.00,1.00
2141.00,1.00
2093.00,1.00
2094.00,1.00
2137.00,1.00
335.00,1.00
420.00,1.00
428.00,1.00
2224.00,1.00
2035.00,9.00
2036.00,9.00
2034.00,9.00
94.00,1.00
101.00,1.00
125.00,1.00
128.00,1.00
185.00,1.00
37.00,1.00
24.00,1.00
25.00,1.00
9.00,1.00
93.00,1.00
96.00,1.00
108.00,1.00
118.00,1.00
149.00,1.00
170.00,1.00
270.00,1.00
296.00,1.00
318.00,1.00
356.00,1.00
417.00,1.00
209.00,1.00
210.00,1.00
227.00,1.00
249.00,1.00
212.00,1.00
276.00,1.00
208.00,1.00
233.00,1.00
273.00,1.00
281.00,1.00
291.00,1.00
406.00,1.00
408.00,1.00
2187.00,1.00
2206.00,1.00
2235.00,1.00
333.00,1.00
386.00,1.00
396.00,1.00
430.00,1.00
2201.00,1.00
2213.00,1.00
456.00,1.00
533.00,1.00
543.00,1.00
544.00,1.00
556.00,1.00
1582.00,1.00
1598.00,1.00
534.00,1.00
1585.00,1.00
1592.00,1.00
1569.00,1.00
2096.00,1.00
2157.00,1.00
2158.00,1.00
2159.00,1.00
2160.00,1.00
2080.00,1.00
2127.00,1.00
2092.00,1.00
